"Modell","Prior_Scale","Wohnlage","Trefferquote_Prozent"
"Ausserhalb",0,"durchschnittliche Lage",77.93
"Ausserhalb",0,"gute Lage",74.37
"Ausserhalb",0,"beste Lage",85.81
"Ausserhalb",5,"durchschnittliche Lage",89.1
"Ausserhalb",5,"gute Lage",87.35
"Ausserhalb",5,"beste Lage",94.92
"Ausserhalb",10,"durchschnittliche Lage",91.59
"Ausserhalb",10,"gute Lage",90.08
"Ausserhalb",10,"beste Lage",96.23
"Ausserhalb",20,"durchschnittliche Lage",93.2
"Ausserhalb",20,"gute Lage",92.37
"Ausserhalb",20,"beste Lage",96.95
"Ausserhalb",30,"durchschnittliche Lage",93.95
"Ausserhalb",30,"gute Lage",93.26
"Ausserhalb",30,"beste Lage",97.28
"Ausserhalb",50,"durchschnittliche Lage",94.83
"Ausserhalb",50,"gute Lage",94.33
"Ausserhalb",50,"beste Lage",97.65
"Ausserhalb",70,"durchschnittliche Lage",95.27
"Ausserhalb",70,"gute Lage",94.84
"Ausserhalb",70,"beste Lage",97.77
"Ausserhalb",100,"durchschnittliche Lage",95.78
"Ausserhalb",100,"gute Lage",95.3
"Ausserhalb",100,"beste Lage",98.02
"Ausserhalb",200,"durchschnittliche Lage",96.61
"Ausserhalb",200,"gute Lage",96.04
"Ausserhalb",200,"beste Lage",98.5
"Ausserhalb",1000,"durchschnittliche Lage",98.19
"Ausserhalb",1000,"gute Lage",97.47
"Ausserhalb",1000,"beste Lage",99.14
"Zentral",0,"beste Lage",93.1
"Zentral",0,"durchschnittliche Lage",97.72
"Zentral",0,"gute Lage",89.34
"Zentral",5,"beste Lage",96.21
"Zentral",5,"durchschnittliche Lage",99.05
"Zentral",5,"gute Lage",92.93
"Zentral",10,"beste Lage",96.81
"Zentral",10,"durchschnittliche Lage",99.23
"Zentral",10,"gute Lage",93.96
"Zentral",20,"beste Lage",97.25
"Zentral",20,"durchschnittliche Lage",99.33
"Zentral",20,"gute Lage",94.89
"Zentral",30,"beste Lage",97.62
"Zentral",30,"durchschnittliche Lage",99.4
"Zentral",30,"gute Lage",95.29
"Zentral",50,"beste Lage",98.02
"Zentral",50,"durchschnittliche Lage",99.61
"Zentral",50,"gute Lage",95.79
"Zentral",70,"beste Lage",98.14
"Zentral",70,"durchschnittliche Lage",99.61
"Zentral",70,"gute Lage",96.09
"Zentral",100,"beste Lage",98.3
"Zentral",100,"durchschnittliche Lage",99.68
"Zentral",100,"gute Lage",96.47
"Zentral",200,"beste Lage",98.39
"Zentral",200,"durchschnittliche Lage",99.72
"Zentral",200,"gute Lage",96.95
"Zentral",1000,"beste Lage",98.87
"Zentral",1000,"durchschnittliche Lage",99.75
"Zentral",1000,"gute Lage",97.8
